call_index,clip_filename,customer_said_in_audio,transcript_showed,turn_number,type,impact,clip_start,clip_end,confidence,error
61,call_61_issue_2.wav,तीस तिहत्तर,तीस तिहत्तर,18,number,high,138.5,141,high,
66,call_66_issue_1.wav,"Likely 'four thousand five hundred' with a stutter, or 'chappan/chauvan'",Five four thousand five hundred,25,amount,high,158.5,162,high,
75,call_75_issue_1.wav,India One,India India open,8,word,medium,37.6,39.2,high,
78,call_78_issue_1.wav,ATM से पैसे कट गए... कैश निकला नहीं है,ATM से पैसे cut गया. कौन सी loan नहीं है?,2,word,high,10.7,16,high,
58,call_58_issue_4.wav,ठीक हो जाएगा,थोड़ी हो जाएगा,56,word,low,6.14,6.16,high,
75,call_75_issue_1.wav,India one,India India open,8,word,low,38,40,high,
69,,Likely asking about their specific bank's customer care,Bank का customer नहीं in the same bank चाहता हूं sir ma'am मेरा.,25,word,medium,,,,"Gemini error: 1 validation error for TimestampResult
  Invalid JSON: EOF while parsing a string at line 1 column 70 [type=json_invalid, input_value='{""start_seconds"":197.7,""...nd"":true,""confidence"":""', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/json_invalid"
79,call_79_issue_1.wav,पच्चीस फरवरी दो हज़ार छब्बीस,पच्चीस फरवरी दो हज़ार छब्बीस,17,date,medium,131.3,135,high,
76,call_76_issue_1.wav,Azamgarh,आ जाऊंगा,3,name,low,13.1,14.9,high,
77,call_77_issue_1.wav,कार्ड,काट,4,word,low,27.8,29.1,high,
78,call_78_issue_2.wav,Unclear digits/mumbling,बत्तीस. कितनी?,5,number,medium,14.5,17.5,high,
66,,Likely 'seven one three four seven seven',sun mein nahi saver one three four seven seven,32-33,number,medium,,,,"Gemini error: 1 validation error for TimestampResult
  Invalid JSON: EOF while parsing a value at line 3 column 23 [type=json_invalid, input_value='{\n  ""start_seconds"": 22...  ""end_seconds"": 228.0,', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/json_invalid"
77,call_77_issue_2.wav,Unclear/Background noise,और mother franchise,18,word,low,131,153,high,
80,call_80_issue_1.wav,QR generate,सेवा generate,2,word,high,13.1,15.1,high,
76,call_76_issue_2.wav,Unclear/Filler,UC,12,word,low,178,181,high,
81,call_81_issue_1.wav,light chali gayi... balance kat gaya,flight चली गई... balance फ़ट गया,8,word,medium,26.3,30.3,high,
84,call_84_issue_1.wav,unknown/background noise,बैठो,7,word,low,51.5,54.5,high,
80,call_80_issue_2.wav,scan karke / scanner,thumbnail,4,word,high,15.3,17.3,high,
81,call_81_issue_2.wav,ATM card,ATM पहाड़,17,word,high,56.8,58.8,high,
79,call_79_issue_2.wav,Four five six one... Five zero four... (then corrected to) चार पांच छह एक पांच तीन zero चार,Four five six one... Five zero four... चार पांच छह एक पांच तीन zero चार,Jul-13,number,low,59,117.5,high,
83,call_83_issue_1.wav,four five... four zero one seven four zero,"ATM ID है four five 
 four zero one seven four zero.",Dec-13,number,low,57,61,high,
80,call_80_issue_3.wav,transaction,तन्मय,10,word,medium,104.3,106.1,high,
85,call_85_issue_1.wav,4545401740,"Fragmented across multiple turns: 'four five', 'four five', 'four zero one seven', 'four.', 'Zero.'",Oct-15,number,high,56.7,61.7,high,
86,call_86_issue_1.wav,नियमों (niyamo),NAMO,23,word,low,137.9,139.4,high,
82,call_82_issue_1.wav,UTR number,U TR number,9,word,low,60.8,63,high,
91,call_91_issue_1.wav,unclear/background noise,पता,6,word,low,31.5,52.5,high,
88,call_88_issue_1.wav,India One ATM,Indian air / Indian Eteam,"5, 6",name,low,19.7,22.1,high,
81,call_81_issue_3.wav,45 32 91 0 2,पैंतालीस बत्तीस इक्यानवे zero को,"23, 25",number,high,92.3,97,high,
90,call_90_issue_1.wav,Unclear (likely 'Card' or a background noise),साठ seven.,7,word,high,33,35.5,high,
89,call_89_issue_1.wav,User paused while reading ATM ID,"Bot interrupted, then appended '42' to the end of the ATM ID making it 10 digits (4542350742)",13-16,number,medium,54.8,62.2,high,
88,call_88_issue_2.wav,Card se,काट से काट से,17,word,medium,12.3,14.3,high,
92,call_92_issue_1.wav,छह अंक,छह छह uncle,19,word,medium,1.267,1.283,high,
94,call_94_issue_1.wav,Gmail ID / ATM ID,Gmail ID,18,word,medium,61,63,high,
81,call_81_issue_4.wav,paise kab milenge mere ko,cheque कब मिलेंगे मेरे को,34,word,medium,138.1,140.6,high,
95,call_95_issue_1.wav,"Unclear, likely 'अड़तालीस घंटा मेरा हो गया' or similar timeframe reference",चालीस साल का मेरा हो गया,6,word,high,41.3,44.7,high,
96,call_96_issue_1.wav,UPI है / ATM ID है,यह आई आई है.,20,word,high,50.5,52.5,high,
94,call_94_issue_2.wav,पैसे कटे,पैसे कुछ,25,word,low,314,315.5,high,
93,call_93_issue_1.wav,Double two पांच एक,Double two पास एक,9,number,high,50.4,52.8,high,
96,call_96_issue_2.wav,दीजिये,जियो.,29,word,low,150.3,151.8,high,
98,call_98_issue_1.wav,कल [unclear/cut off],कल out,2,word,low,12.3,14.5,high,
97,call_97_issue_1.wav,double two,double तो,20,number,high,71.7,73.5,high,
98,call_98_issue_2.wav,India One ATM में,NDA में,3,name,medium,13.3,15.7,high,
93,call_93_issue_2.wav,Unclear/mumbled Hindi regarding time,आगे की judge से याद है,11,word,low,62.9,65.7,high,
99,call_99_issue_1.wav,Unclear/Garbled,और कोई जो bank से पैसा काजलन है हमारे sir?,18,word,medium,111.8,115.2,high,
90,call_90_issue_2.wav,Unclear year (likely 2024 or 2023),दो हज़ार छब्बीस,13,date,medium,59,61,high,
97,call_97_issue_2.wav,urgent में चाहिए,r z में चाहिए,31,word,medium,150.9,152.9,high,
100,call_100_issue_1.wav,Four double six,Four double six,22,number,medium,56.3,58.5,high,
99,call_99_issue_2.wav,Unclear/Garbled,और तो ही खर्चा ATM वाले थोड़ा. हां तो बताइए हो तो अभी ना bank. हां loan ATM payment bank.,19,word,medium,116,121.5,high,
